Group	Sample	cd4_subcluster	.n	.frac
Post responsive	P19_post_1	s8	586	0.485099337748344
Post responsive	P19_post_1	s9	59	0.048841059602649
Post responsive	P19_post_1	s10	7	0.00579470198675497
Post responsive	P19_post_1	s11	12	0.00993377483443709
Post responsive	P1_post_1	s1	97	0.092911877394636
Post responsive	P1_post_1	s2	176	0.168582375478927
Post responsive	P1_post_1	s3	331	0.317049808429119
Post responsive	P1_post_1	s4	69	0.0660919540229885
Post responsive	P1_post_1	s5	39	0.0373563218390805
Post responsive	P1_post_1	s6	14	0.0134099616858238
Post responsive	P1_post_1	s7	107	0.102490421455939
Post responsive	P1_post_1	s8	39	0.0373563218390805
Post responsive	P1_post_1	s9	45	0.0431034482758621
Post responsive	P1_post_1	s10	73	0.0699233716475096
Post responsive	P1_post_1	s11	37	0.0354406130268199
Post responsive	P1_post_1	s12	17	0.0162835249042146
Post responsive	P1_post_2	s1	233	0.160578911095796
Post responsive	P1_post_2	s2	266	0.183321847002068
Post responsive	P1_post_2	s3	195	0.134390075809786
Post responsive	P1_post_2	s4	116	0.0799448656099242
Post responsive	P1_post_2	s5	205	0.141281874569263
Post responsive	P1_post_2	s6	54	0.0372157133011716
Post responsive	P1_post_2	s7	156	0.107512060647829
Post responsive	P1_post_2	s8	30	0.0206753962784287
Post responsive	P1_post_2	s9	102	0.0702963473466575
Post responsive	P1_post_2	s10	62	0.0427291523087526
Post responsive	P1_post_2	s11	20	0.0137835975189524
Post responsive	P1_post_2	s12	12	0.00827015851137147
Post responsive	P29_post_1	s1	52	0.0977443609022556
Post responsive	P29_post_1	s2	47	0.0883458646616541
Post responsive	P29_post_1	s3	73	0.137218045112782
Post responsive	P29_post_1	s4	58	0.109022556390977
Post responsive	P29_post_1	s5	43	0.0808270676691729
Post responsive	P29_post_1	s6	35	0.0657894736842105
Post responsive	P29_post_1	s7	67	0.12593984962406
Post responsive	P29_post_1	s8	48	0.0902255639097744
Post responsive	P29_post_1	s9	30	0.056390977443609
Post responsive	P29_post_1	s10	52	0.0977443609022556
Post responsive	P29_post_1	s11	23	0.0432330827067669
Post responsive	P29_post_1	s12	4	0.0075187969924812
Post responsive	P30_post_1	s1	375	0.173691523853636
Post responsive	P30_post_1	s2	427	0.197776748494673
Post responsive	P30_post_1	s3	159	0.0736452061139416
Post responsive	P30_post_1	s4	401	0.185734136174155
Post responsive	P30_post_1	s5	155	0.0717924965261695
Post responsive	P30_post_1	s6	45	0.0208429828624363
Post responsive	P30_post_1	s7	169	0.0782769800833719
Post responsive	P30_post_1	s8	142	0.0657711903659101
Post responsive	P30_post_1	s9	172	0.079666512274201
Post responsive	P30_post_1	s10	21	0.00972672533580361
Post responsive	P30_post_1	s11	89	0.0412227883279296
Post responsive	P30_post_1	s12	4	0.00185270958777212
Post responsive	P33_post_1	s1	295	0.169735327963176
Post responsive	P33_post_1	s2	382	0.219792865362486
Post responsive	P33_post_1	s3	126	0.0724971231300345
Post responsive	P33_post_1	s4	68	0.0391254315304948
Post responsive	P33_post_1	s5	240	0.138089758342923
Post responsive	P33_post_1	s6	64	0.0368239355581128
Post responsive	P33_post_1	s7	218	0.125431530494822
Post responsive	P33_post_1	s8	195	0.112197928653625
Post responsive	P33_post_1	s9	74	0.0425776754890679
Post responsive	P33_post_1	s10	27	0.0155350978135788
Post responsive	P33_post_1	s11	38	0.0218642117376295
Post responsive	P33_post_1	s12	11	0.00632911392405063
Post responsive	P35_post_1	s1	652	0.282740676496097
Post responsive	P35_post_1	s2	518	0.224631396357329
Post responsive	P35_post_1	s3	40	0.0173460537727667
Post responsive	P35_post_1	s4	177	0.0767562879444926
Post responsive	P35_post_1	s5	253	0.109713790112749
Post responsive	P35_post_1	s6	18	0.00780572419774501
Post responsive	P35_post_1	s7	229	0.0993061578490893
Post responsive	P35_post_1	s8	149	0.0646140503035559
Post responsive	P35_post_1	s9	220	0.0954032957502168
Post responsive	P35_post_1	s10	29	0.0125758889852559
Post responsive	P35_post_1	s11	14	0.00607111882046834
Post responsive	P35_post_1	s12	7	0.00303555941023417
Treatment naive	P10_pre	s1	730	0.216424547880225
Treatment naive	P10_pre	s2	742	0.219982211680996
Treatment naive	P10_pre	s3	157	0.0465461013934183
Treatment naive	P10_pre	s4	223	0.0661132522976579
Treatment naive	P10_pre	s5	118	0.0349836940409131
Treatment naive	P10_pre	s6	466	0.138155944263267
Treatment naive	P10_pre	s7	362	0.10732285798992
Treatment naive	P10_pre	s8	61	0.0180847909872517
Treatment naive	P10_pre	s9	281	0.0833086273347169
Treatment naive	P10_pre	s10	191	0.0566261488289357
Treatment naive	P10_pre	s11	9	0.00266824785057812
Treatment naive	P10_pre	s12	33	0.00978357545211977
Treatment naive	P11_pre	s1	121	0.1996699669967
Treatment naive	P11_pre	s2	97	0.16006600660066
Treatment naive	P11_pre	s3	76	0.125412541254125
Treatment naive	P11_pre	s4	76	0.125412541254125
Treatment naive	P11_pre	s5	34	0.0561056105610561
Treatment naive	P11_pre	s6	13	0.0214521452145215
Treatment naive	P11_pre	s7	34	0.0561056105610561
Treatment naive	P11_pre	s8	70	0.115511551155116
Treatment naive	P11_pre	s9	20	0.033003300330033
Treatment naive	P11_pre	s10	32	0.0528052805280528
Treatment naive	P11_pre	s11	31	0.0511551155115512
Treatment naive	P11_pre	s12	2	0.0033003300330033
Treatment naive	P12_pre	s1	155	0.155
Treatment naive	P12_pre	s2	106	0.106
Treatment naive	P12_pre	s3	102	0.102
Treatment naive	P12_pre	s4	213	0.213
Treatment naive	P12_pre	s5	86	0.086
Treatment naive	P12_pre	s6	122	0.122
Treatment naive	P12_pre	s7	51	0.051
Treatment naive	P12_pre	s8	25	0.025
Treatment naive	P12_pre	s9	52	0.052
Treatment naive	P12_pre	s10	69	0.069
Treatment naive	P12_pre	s11	6	0.006
Treatment naive	P12_pre	s12	13	0.013
Treatment naive	P13_pre	s1	64	0.115732368896926
Treatment naive	P13_pre	s2	161	0.291139240506329
Treatment naive	P13_pre	s3	82	0.148282097649186
Treatment naive	P13_pre	s4	40	0.0723327305605787
Treatment naive	P13_pre	s5	20	0.0361663652802893
Treatment naive	P13_pre	s6	32	0.0578661844484629
Treatment naive	P13_pre	s7	77	0.139240506329114
Treatment naive	P13_pre	s8	6	0.0108499095840868
Treatment naive	P13_pre	s9	38	0.0687160940325497
Treatment naive	P13_pre	s10	20	0.0361663652802893
Treatment naive	P13_pre	s11	5	0.00904159132007233
Treatment naive	P13_pre	s12	8	0.0144665461121157
Treatment naive	P14_pre	s1	206	0.209349593495935
Treatment naive	P14_pre	s2	282	0.286585365853659
Treatment naive	P14_pre	s3	38	0.0386178861788618
Treatment naive	P14_pre	s4	108	0.109756097560976
Treatment naive	P14_pre	s5	79	0.0802845528455285
Treatment naive	P14_pre	s6	17	0.0172764227642276
Treatment naive	P14_pre	s7	57	0.0579268292682927
Treatment naive	P14_pre	s8	36	0.0365853658536585
Treatment naive	P14_pre	s9	118	0.119918699186992
Treatment naive	P14_pre	s10	18	0.0182926829268293
Treatment naive	P14_pre	s11	18	0.0182926829268293
Treatment naive	P14_pre	s12	7	0.00711382113821138
Treatment naive	P15_pre	s1	117	0.176737160120846
Treatment naive	P15_pre	s2	77	0.11631419939577
Treatment naive	P15_pre	s3	147	0.222054380664653
Treatment naive	P15_pre	s4	74	0.11178247734139
Treatment naive	P15_pre	s5	54	0.081570996978852
Treatment naive	P15_pre	s6	25	0.0377643504531722
Treatment naive	P15_pre	s7	49	0.0740181268882175
Treatment naive	P15_pre	s8	22	0.0332326283987915
Treatment naive	P15_pre	s9	41	0.0619335347432024
Treatment naive	P15_pre	s10	22	0.0332326283987915
Treatment naive	P15_pre	s11	27	0.040785498489426
Treatment naive	P15_pre	s12	7	0.0105740181268882
Treatment naive	P16_pre	s1	58	0.0976430976430976
Treatment naive	P16_pre	s2	110	0.185185185185185
Treatment naive	P16_pre	s3	24	0.0404040404040404
Treatment naive	P16_pre	s4	125	0.21043771043771
Treatment naive	P16_pre	s5	45	0.0757575757575758
Treatment naive	P16_pre	s6	8	0.0134680134680135
Treatment naive	P16_pre	s7	96	0.161616161616162
Treatment naive	P16_pre	s8	36	0.0606060606060606
Treatment naive	P16_pre	s9	78	0.131313131313131
Treatment naive	P16_pre	s10	3	0.00505050505050505
Treatment naive	P16_pre	s11	10	0.0168350168350168
Treatment naive	P16_pre	s12	1	0.00168350168350168
Treatment naive	P17_pre	s1	42	0.108247422680412
Treatment naive	P17_pre	s2	49	0.126288659793814
Treatment naive	P17_pre	s3	84	0.216494845360825
Treatment naive	P17_pre	s4	25	0.0644329896907216
Treatment naive	P17_pre	s5	52	0.134020618556701
Treatment naive	P17_pre	s6	13	0.0335051546391753
Treatment naive	P17_pre	s7	20	0.0515463917525773
Treatment naive	P17_pre	s8	35	0.0902061855670103
Treatment naive	P17_pre	s9	11	0.0283505154639175
Treatment naive	P17_pre	s10	40	0.103092783505155
Treatment naive	P17_pre	s11	12	0.0309278350515464
Treatment naive	P17_pre	s12	5	0.0128865979381443
Treatment naive	P18_pre	s1	280	0.278884462151394
Treatment naive	P18_pre	s2	89	0.0886454183266932
Treatment naive	P18_pre	s3	140	0.139442231075697
Treatment naive	P18_pre	s4	120	0.119521912350598
Treatment naive	P18_pre	s5	81	0.0806772908366534
Treatment naive	P18_pre	s6	11	0.0109561752988048
Treatment naive	P18_pre	s7	58	0.0577689243027888
Treatment naive	P18_pre	s8	52	0.051792828685259
Treatment naive	P18_pre	s9	86	0.0856573705179283
Treatment naive	P18_pre	s10	65	0.0647410358565737
Treatment naive	P18_pre	s11	19	0.0189243027888446
Treatment naive	P18_pre	s12	3	0.00298804780876494
Treatment naive	P19_pre	s1	288	0.14014598540146
Treatment naive	P19_pre	s2	150	0.072992700729927
Treatment naive	P19_pre	s3	177	0.0861313868613139
Treatment naive	P19_pre	s4	534	0.25985401459854
Treatment naive	P19_pre	s5	157	0.0763990267639903
Treatment naive	P19_pre	s6	104	0.0506082725060827
Treatment naive	P19_pre	s7	106	0.0515815085158151
Treatment naive	P19_pre	s8	140	0.0681265206812652
Treatment naive	P19_pre	s9	79	0.0384428223844282
Treatment naive	P19_pre	s10	295	0.143552311435523
Treatment naive	P19_pre	s11	17	0.00827250608272506
Treatment naive	P19_pre	s12	8	0.00389294403892944
Treatment naive	P1_pre	s1	185	0.108187134502924
Treatment naive	P1_pre	s2	195	0.114035087719298
Treatment naive	P1_pre	s3	548	0.32046783625731
Treatment naive	P1_pre	s4	102	0.0596491228070175
Treatment naive	P1_pre	s5	86	0.0502923976608187
Treatment naive	P1_pre	s6	96	0.056140350877193
Treatment naive	P1_pre	s7	140	0.0818713450292398
Treatment naive	P1_pre	s8	32	0.0187134502923977
Treatment naive	P1_pre	s9	79	0.0461988304093567
Treatment naive	P1_pre	s10	139	0.0812865497076023
Treatment naive	P1_pre	s11	55	0.0321637426900585
Treatment naive	P1_pre	s12	53	0.0309941520467836
Treatment naive	P20_pre	s1	173	0.145134228187919
Treatment naive	P20_pre	s2	225	0.188758389261745
Treatment naive	P20_pre	s3	27	0.0226510067114094
Treatment naive	P20_pre	s4	73	0.061241610738255
Treatment naive	P20_pre	s5	392	0.328859060402685
Treatment naive	P20_pre	s6	19	0.0159395973154362
Treatment naive	P20_pre	s7	70	0.0587248322147651
Treatment naive	P20_pre	s8	111	0.0931208053691275
Treatment naive	P20_pre	s9	58	0.0486577181208054
Treatment naive	P20_pre	s10	22	0.0184563758389262
Treatment naive	P20_pre	s11	19	0.0159395973154362
Treatment naive	P20_pre	s12	3	0.00251677852348993
Treatment naive	P21_pre	s1	226	0.265569917743831
Treatment naive	P21_pre	s2	130	0.152761457109283
Treatment naive	P21_pre	s3	14	0.0164512338425382
Treatment naive	P21_pre	s4	63	0.0740305522914219
Treatment naive	P21_pre	s5	124	0.145710928319624
Treatment naive	P21_pre	s6	32	0.0376028202115159
Treatment naive	P21_pre	s7	68	0.0799059929494712
Treatment naive	P21_pre	s8	61	0.0716803760282021
Treatment naive	P21_pre	s9	52	0.0611045828437133
Treatment naive	P21_pre	s10	75	0.0881316098707403
Treatment naive	P21_pre	s11	5	0.00587544065804935
Treatment naive	P21_pre	s12	1	0.00117508813160987
Treatment naive	P22_pre	s1	80	0.272108843537415
Treatment naive	P22_pre	s2	45	0.153061224489796
Treatment naive	P22_pre	s3	38	0.129251700680272
Treatment naive	P22_pre	s4	24	0.0816326530612245
Treatment naive	P22_pre	s5	29	0.0986394557823129
Treatment naive	P22_pre	s6	9	0.0306122448979592
Treatment naive	P22_pre	s7	24	0.0816326530612245
Treatment naive	P22_pre	s8	8	0.0272108843537415
Treatment naive	P22_pre	s9	21	0.0714285714285714
Treatment naive	P22_pre	s10	10	0.0340136054421769
Treatment naive	P22_pre	s11	6	0.0204081632653061
Treatment naive	P23_pre	s1	206	0.195817490494297
Treatment naive	P23_pre	s2	266	0.252851711026616
Treatment naive	P23_pre	s3	84	0.0798479087452472
Treatment naive	P23_pre	s4	101	0.0960076045627376
Treatment naive	P23_pre	s5	72	0.0684410646387833
Treatment naive	P23_pre	s6	50	0.0475285171102662
Treatment naive	P23_pre	s7	110	0.104562737642586
Treatment naive	P23_pre	s8	32	0.0304182509505703
Treatment naive	P23_pre	s9	95	0.0903041825095057
Treatment naive	P23_pre	s10	12	0.0114068441064639
Treatment naive	P23_pre	s11	14	0.0133079847908745
Treatment naive	P23_pre	s12	10	0.00950570342205323
Treatment naive	P24_pre	s1	107	0.214428857715431
Treatment naive	P24_pre	s2	69	0.138276553106212
Treatment naive	P24_pre	s3	62	0.124248496993988
Treatment naive	P24_pre	s4	42	0.0841683366733467
Treatment naive	P24_pre	s5	16	0.032064128256513
Treatment naive	P24_pre	s6	23	0.0460921843687375
Treatment naive	P24_pre	s7	33	0.0661322645290581
Treatment naive	P24_pre	s8	28	0.0561122244488978
Treatment naive	P24_pre	s9	46	0.0921843687374749
Treatment naive	P24_pre	s10	54	0.108216432865731
Treatment naive	P24_pre	s11	14	0.0280561122244489
Treatment naive	P24_pre	s12	5	0.0100200400801603
Treatment naive	P25_pre	s1	159	0.0456896551724138
Treatment naive	P25_pre	s2	192	0.0551724137931034
Treatment naive	P25_pre	s3	278	0.0798850574712644
Treatment naive	P25_pre	s4	49	0.0140804597701149
Treatment naive	P25_pre	s5	57	0.0163793103448276
Treatment naive	P25_pre	s6	1895	0.544540229885057
Treatment naive	P25_pre	s7	158	0.0454022988505747
Treatment naive	P25_pre	s8	18	0.00517241379310345
Treatment naive	P25_pre	s9	85	0.0244252873563218
Treatment naive	P25_pre	s10	97	0.0278735632183908
Treatment naive	P25_pre	s11	17	0.00488505747126437
Treatment naive	P25_pre	s12	407	0.116954022988506
Treatment naive	P25_pre	s13	68	0.0195402298850575
Treatment naive	P26_pre	s1	30	0.202702702702703
Treatment naive	P26_pre	s2	26	0.175675675675676
Treatment naive	P26_pre	s3	6	0.0405405405405405
Treatment naive	P26_pre	s4	13	0.0878378378378378
Treatment naive	P26_pre	s5	15	0.101351351351351
Treatment naive	P26_pre	s6	6	0.0405405405405405
Treatment naive	P26_pre	s7	16	0.108108108108108
Treatment naive	P26_pre	s8	13	0.0878378378378378
Treatment naive	P26_pre	s9	20	0.135135135135135
Treatment naive	P26_pre	s11	3	0.0202702702702703
Treatment naive	P27_pre	s1	100	0.119189511323004
Treatment naive	P27_pre	s2	198	0.235995232419547
Treatment naive	P27_pre	s3	40	0.0476758045292014
Treatment naive	P27_pre	s4	88	0.104886769964243
Treatment naive	P27_pre	s5	110	0.131108462455304
Treatment naive	P27_pre	s6	84	0.100119189511323
Treatment naive	P27_pre	s7	76	0.0905840286054827
Treatment naive	P27_pre	s8	55	0.065554231227652
Treatment naive	P27_pre	s9	61	0.0727056019070322
Treatment naive	P27_pre	s10	7	0.00834326579261025
Treatment naive	P27_pre	s11	10	0.0119189511323004
Treatment naive	P27_pre	s12	10	0.0119189511323004
Treatment naive	P28_pre	s1	128	0.115315315315315
Treatment naive	P28_pre	s2	110	0.0990990990990991
Treatment naive	P28_pre	s3	154	0.138738738738739
Treatment naive	P28_pre	s4	24	0.0216216216216216
Treatment naive	P28_pre	s5	220	0.198198198198198
Treatment naive	P28_pre	s6	117	0.105405405405405
Treatment naive	P28_pre	s7	45	0.0405405405405405
Treatment naive	P28_pre	s8	82	0.0738738738738739
Treatment naive	P28_pre	s9	19	0.0171171171171171
Treatment naive	P28_pre	s10	110	0.0990990990990991
Treatment naive	P28_pre	s11	69	0.0621621621621622
Treatment naive	P28_pre	s12	32	0.0288288288288288
Treatment naive	P29_pre	s1	154	0.205607476635514
Treatment naive	P29_pre	s2	113	0.15086782376502
Treatment naive	P29_pre	s3	87	0.116154873164219
Treatment naive	P29_pre	s4	92	0.12283044058745
Treatment naive	P29_pre	s5	35	0.0467289719626168
Treatment naive	P29_pre	s6	64	0.0854472630173565
Treatment naive	P29_pre	s7	71	0.0947930574098798
Treatment naive	P29_pre	s8	17	0.0226969292389853
Treatment naive	P29_pre	s9	62	0.0827770360480641
Treatment naive	P29_pre	s10	43	0.0574098798397864
Treatment naive	P29_pre	s11	4	0.00534045393858478
Treatment naive	P29_pre	s12	7	0.00934579439252336
Treatment naive	P2_pre	s1	320	0.293308890925756
Treatment naive	P2_pre	s2	116	0.106324472960587
Treatment naive	P2_pre	s3	79	0.0724106324472961
Treatment naive	P2_pre	s4	209	0.191567369385885
Treatment naive	P2_pre	s5	61	0.0559120073327223
Treatment naive	P2_pre	s6	56	0.0513290559120073
Treatment naive	P2_pre	s7	49	0.0449129239230064
Treatment naive	P2_pre	s8	26	0.0238313473877177
Treatment naive	P2_pre	s9	134	0.12282309807516
Treatment naive	P2_pre	s10	17	0.0155820348304308
Treatment naive	P2_pre	s11	16	0.0146654445462878
Treatment naive	P2_pre	s12	8	0.0073327222731439
Treatment naive	P30_pre	s1	110	0.116648992576882
Treatment naive	P30_pre	s2	136	0.144220572640509
Treatment naive	P30_pre	s3	251	0.266171792152704
Treatment naive	P30_pre	s4	36	0.0381760339342524
Treatment naive	P30_pre	s5	99	0.104984093319194
Treatment naive	P30_pre	s6	64	0.0678685047720042
Treatment naive	P30_pre	s7	39	0.0413573700954401
Treatment naive	P30_pre	s8	24	0.0254506892895016
Treatment naive	P30_pre	s9	28	0.0296924708377519
Treatment naive	P30_pre	s10	107	0.113467656415695
Treatment naive	P30_pre	s11	28	0.0296924708377519
Treatment naive	P30_pre	s12	21	0.0222693531283139
Treatment naive	P33_pre	s1	52	0.0550847457627119
Treatment naive	P33_pre	s2	154	0.163135593220339
Treatment naive	P33_pre	s3	202	0.213983050847458
Treatment naive	P33_pre	s4	52	0.0550847457627119
Treatment naive	P33_pre	s5	17	0.0180084745762712
Treatment naive	P33_pre	s6	225	0.238347457627119
Treatment naive	P33_pre	s7	78	0.0826271186440678
Treatment naive	P33_pre	s8	9	0.00953389830508475
Treatment naive	P33_pre	s9	53	0.0561440677966102
Treatment naive	P33_pre	s10	19	0.0201271186440678
Treatment naive	P33_pre	s11	18	0.0190677966101695
Treatment naive	P33_pre	s12	65	0.0688559322033898
Treatment naive	P34_pre	s1	149	0.110044313146233
Treatment naive	P34_pre	s2	241	0.177991137370753
Treatment naive	P34_pre	s3	179	0.132200886262925
Treatment naive	P34_pre	s4	274	0.202363367799114
Treatment naive	P34_pre	s5	176	0.129985228951256
Treatment naive	P34_pre	s6	5	0.00369276218611521
Treatment naive	P34_pre	s7	94	0.069423929098966
Treatment naive	P34_pre	s8	51	0.0376661742983752
Treatment naive	P34_pre	s9	89	0.0657311669128508
Treatment naive	P34_pre	s10	65	0.0480059084194978
Treatment naive	P34_pre	s11	29	0.0214180206794682
Treatment naive	P34_pre	s12	2	0.00147710487444609
Treatment naive	P35_pre	s1	193	0.138549892318737
Treatment naive	P35_pre	s2	306	0.219669777458722
Treatment naive	P35_pre	s3	164	0.117731514716439
Treatment naive	P35_pre	s4	181	0.129935391241924
Treatment naive	P35_pre	s5	126	0.0904522613065327
Treatment naive	P35_pre	s6	118	0.0847092605886576
Treatment naive	P35_pre	s7	68	0.0488155061019383
Treatment naive	P35_pre	s8	65	0.0466618808327351
Treatment naive	P35_pre	s9	82	0.0588657573582197
Treatment naive	P35_pre	s10	48	0.0344580043072505
Treatment naive	P35_pre	s11	19	0.0136396267049533
Treatment naive	P35_pre	s12	23	0.0165111270638909
Treatment naive	P3_pre	s1	3	0.00537634408602151
Treatment naive	P3_pre	s2	42	0.0752688172043011
Treatment naive	P3_pre	s3	19	0.0340501792114695
Treatment naive	P3_pre	s4	8	0.014336917562724
Treatment naive	P3_pre	s5	325	0.582437275985663
Treatment naive	P3_pre	s6	25	0.0448028673835125
Treatment naive	P3_pre	s7	54	0.0967741935483871
Treatment naive	P3_pre	s8	48	0.0860215053763441
Treatment naive	P3_pre	s9	1	0.0017921146953405
Treatment naive	P3_pre	s10	16	0.028673835125448
Treatment naive	P3_pre	s11	9	0.0161290322580645
Treatment naive	P3_pre	s12	8	0.014336917562724
Treatment naive	P4_pre	s1	78	0.217877094972067
Treatment naive	P4_pre	s2	78	0.217877094972067
Treatment naive	P4_pre	s3	49	0.136871508379888
Treatment naive	P4_pre	s4	32	0.0893854748603352
Treatment naive	P4_pre	s5	12	0.0335195530726257
Treatment naive	P4_pre	s6	12	0.0335195530726257
Treatment naive	P4_pre	s7	19	0.053072625698324
Treatment naive	P4_pre	s8	17	0.0474860335195531
Treatment naive	P4_pre	s9	29	0.0810055865921788
Treatment naive	P4_pre	s10	24	0.0670391061452514
Treatment naive	P4_pre	s11	6	0.0167597765363128
Treatment naive	P4_pre	s12	2	0.00558659217877095
Treatment naive	P5_pre	s1	32	0.240601503759398
Treatment naive	P5_pre	s2	13	0.0977443609022556
Treatment naive	P5_pre	s3	25	0.18796992481203
Treatment naive	P5_pre	s4	4	0.0300751879699248
Treatment naive	P5_pre	s5	9	0.0676691729323308
Treatment naive	P5_pre	s6	8	0.0601503759398496
Treatment naive	P5_pre	s7	5	0.037593984962406
Treatment naive	P5_pre	s8	9	0.0676691729323308
Treatment naive	P5_pre	s9	16	0.120300751879699
Treatment naive	P5_pre	s10	8	0.0601503759398496
Treatment naive	P5_pre	s11	2	0.0150375939849624
Treatment naive	P5_pre	s12	2	0.0150375939849624
Treatment naive	P6_pre	s1	168	0.24633431085044
Treatment naive	P6_pre	s2	117	0.171554252199413
Treatment naive	P6_pre	s3	51	0.0747800586510264
Treatment naive	P6_pre	s4	66	0.0967741935483871
Treatment naive	P6_pre	s5	113	0.165689149560117
Treatment naive	P6_pre	s6	10	0.0146627565982405
Treatment naive	P6_pre	s7	53	0.0777126099706745
Treatment naive	P6_pre	s8	26	0.0381231671554252
Treatment naive	P6_pre	s9	57	0.0835777126099707
