Group	Sample	cd8_subcluster	.n	.frac
Treatment naive	P1_pre	s4	101	0.0513472292831723
Treatment naive	P20_pre	s1	263	0.234821428571429
Treatment naive	P20_pre	s2	297	0.265178571428571
Treatment naive	P20_pre	s3	549	0.490178571428571
Treatment naive	P20_pre	s4	11	0.00982142857142857
Treatment naive	P21_pre	s1	299	0.502521008403361
Treatment naive	P21_pre	s2	50	0.0840336134453782
Treatment naive	P21_pre	s3	196	0.329411764705882
Treatment naive	P21_pre	s4	50	0.0840336134453782
Treatment naive	P22_pre	s1	139	0.480968858131488
Treatment naive	P22_pre	s2	73	0.252595155709343
Treatment naive	P22_pre	s3	68	0.235294117647059
Treatment naive	P22_pre	s4	9	0.0311418685121107
Treatment naive	P23_pre	s1	325	0.420984455958549
Treatment naive	P23_pre	s2	258	0.33419689119171
Treatment naive	P23_pre	s3	180	0.233160621761658
Treatment naive	P23_pre	s4	9	0.0116580310880829
Treatment naive	P24_pre	s1	154	0.324210526315789
Treatment naive	P24_pre	s2	192	0.404210526315789
Treatment naive	P24_pre	s3	87	0.183157894736842
Treatment naive	P24_pre	s4	42	0.0884210526315789
Treatment naive	P25_pre	s1	325	0.247524752475248
Treatment naive	P25_pre	s2	809	0.616146230007616
Treatment naive	P25_pre	s3	101	0.0769230769230769
Treatment naive	P25_pre	s4	78	0.0594059405940594
Treatment naive	P26_pre	s1	44	0.4
Treatment naive	P26_pre	s2	29	0.263636363636364
Treatment naive	P26_pre	s3	36	0.327272727272727
Treatment naive	P26_pre	s4	1	0.00909090909090909
Treatment naive	P27_pre	s1	273	0.411764705882353
Treatment naive	P27_pre	s2	141	0.212669683257919
Treatment naive	P27_pre	s3	240	0.361990950226244
Treatment naive	P27_pre	s4	9	0.0135746606334842
Treatment naive	P28_pre	s1	339	0.244765342960289
Treatment naive	P28_pre	s2	609	0.43971119133574
Treatment naive	P28_pre	s3	363	0.262093862815884
Treatment naive	P28_pre	s4	74	0.0534296028880866
Treatment naive	P29_pre	s1	404	0.514649681528662
Treatment naive	P29_pre	s2	244	0.310828025477707
Treatment naive	P29_pre	s3	99	0.126114649681529
Treatment naive	P29_pre	s4	38	0.0484076433121019
Treatment naive	P2_pre	s1	486	0.551020408163265
Treatment naive	P2_pre	s2	247	0.280045351473923
Treatment naive	P2_pre	s3	121	0.13718820861678
Treatment naive	P2_pre	s4	28	0.0317460317460317
Treatment naive	P30_pre	s1	264	0.206896551724138
Treatment naive	P30_pre	s2	742	0.581504702194357
Treatment naive	P30_pre	s3	212	0.166144200626959
Treatment naive	P30_pre	s4	58	0.0454545454545455
Treatment naive	P33_pre	s1	145	0.243288590604027
Treatment naive	P33_pre	s2	350	0.587248322147651
Treatment naive	P33_pre	s3	84	0.140939597315436
Treatment naive	P33_pre	s4	17	0.0285234899328859
Treatment naive	P34_pre	s1	675	0.344915687276444
Treatment naive	P34_pre	s2	962	0.491568727644354
Treatment naive	P34_pre	s3	283	0.14460909555442
Treatment naive	P34_pre	s4	37	0.0189064895247828
Treatment naive	P35_pre	s1	688	0.411483253588517
Treatment naive	P35_pre	s2	629	0.376196172248804
Treatment naive	P35_pre	s3	310	0.185406698564593
Treatment naive	P35_pre	s4	45	0.0269138755980861
Treatment naive	P3_pre	s1	77	0.193467336683417
Treatment naive	P3_pre	s2	183	0.459798994974874
Treatment naive	P3_pre	s3	133	0.334170854271357
Treatment naive	P3_pre	s4	5	0.0125628140703518
Treatment naive	P4_pre	s1	89	0.310104529616725
Treatment naive	P4_pre	s2	110	0.383275261324042
Treatment naive	P4_pre	s3	69	0.240418118466899
Treatment naive	P4_pre	s4	19	0.0662020905923345
Treatment naive	P5_pre	s1	43	0.346774193548387
Treatment naive	P5_pre	s2	55	0.443548387096774
Treatment naive	P5_pre	s3	15	0.120967741935484
Treatment naive	P5_pre	s4	11	0.0887096774193548
Treatment naive	P6_pre	s1	324	0.446896551724138
Treatment naive	P6_pre	s2	200	0.275862068965517
Treatment naive	P6_pre	s3	189	0.260689655172414
Treatment naive	P6_pre	s4	12	0.016551724137931
Treatment naive	P7_pre	s1	22	0.166666666666667
Treatment naive	P7_pre	s2	66	0.5
Treatment naive	P7_pre	s3	26	0.196969696969697
Treatment naive	P7_pre	s4	18	0.136363636363636
Treatment naive	P8_pre	s1	114	0.289340101522843
Treatment naive	P8_pre	s2	148	0.375634517766497
Treatment naive	P8_pre	s3	30	0.0761421319796954
Treatment naive	P8_pre	s4	102	0.258883248730964
Treatment naive	P9_pre	s1	57	0.25
Treatment naive	P9_pre	s2	81	0.355263157894737
Treatment naive	P9_pre	s3	66	0.289473684210526
Treatment naive	P9_pre	s4	24	0.105263157894737
